name
Ana Maria Machado
George Tabori
Róbert Tábori
Mihály Táncsics
László Teleki
Paul Tenczer
Sándor Terplán
Johannes de Thurocz
Tibor Tobak
Zsolt Tokaji
George Urban
Mihály Szever Vanecsai
Tibor Várady
Miklós Vásárhelyi
Vilmos Vázsonyi
Ludwig Venetianer
Elie Wiesel
János Zádori
Máté Zalka
Pál Závada
Lajos Zilahy
Péter Zilahy
Béla Zsolt
